* c0 0.0
* kappa 15.0
* Ka 4e2
* A0 0.0021911563
* PC 4
* _PC 4
0 An0 2.18769
0 An1 2.04775
0 An2 2.04775
1 An0 2.18771
1 An1 2.04774
1 An2 2.04774
2 An0 2.05426
2 An1 2.04609
2 An2 2.18284
3 An0 2.18769
3 An1 2.04775
3 An2 2.04775
4 An0 2.18771
4 An1 2.04774
4 An2 2.04774
5 An0 2.18769
5 An1 2.04775
5 An2 2.04775
6 An0 2.08681
6 An1 2.0868
6 An2 2.10958
7 An0 2.16302
7 An1 2.20532
7 An2 1.91484
8 An0 1.91586
8 An1 2.20038
8 An2 2.16695
9 An0 2.08681
9 An1 2.08681
9 An2 2.10957
10 An0 2.16694
10 An1 2.20039
10 An2 1.91585
11 An0 1.91585
11 An1 2.20039
11 An2 2.16694
12 An0 2.0868
12 An1 2.08681
12 An2 2.10958
13 An0 2.16695
13 An1 2.20038
13 An2 1.91586
14 An0 1.91484
14 An1 2.20532
14 An2 2.16302
15 An0 2.08681
15 An1 2.0868
15 An2 2.10958
16 An0 2.16302
16 An1 2.20532
16 An2 1.91484
17 An0 1.91586
17 An1 2.20038
17 An2 2.16695
18 An0 2.08681
18 An1 2.08681
18 An2 2.10957
19 An0 2.16694
19 An1 2.20039
19 An2 1.91585
20 An0 1.91585
20 An1 2.20039
20 An2 2.16694
21 An0 2.0868
21 An1 2.08681
21 An2 2.10958
22 An0 1.96319
22 An1 2.13784
22 An2 2.18216
23 An0 1.91484
23 An1 2.20532
23 An2 2.16302
24 An0 2.06008
24 An1 2.07469
24 An2 2.14842
25 An0 2.01075
25 An1 2.26169
25 An2 2.01075
26 An0 2.07468
26 An1 2.06007
26 An2 2.14843
27 An0 2.0601
27 An1 2.07468
27 An2 2.1484
28 An0 2.01076
28 An1 2.26167
28 An2 2.01076
29 An0 2.07468
29 An1 2.0601
29 An2 2.1484
30 An0 2.06007
30 An1 2.07468
30 An2 2.14843
31 An0 2.01075
31 An1 2.26169
31 An2 2.01075
32 An0 2.07469
32 An1 2.06008
32 An2 2.14842
33 An0 2.06008
33 An1 2.07469
33 An2 2.14842
34 An0 2.01556
34 An1 2.26422
